Loan ID,Credit Score,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
f738779f-c726-40dc-92cf-689d73af533d,747,NA,9,0,621908,1058970,0,0
6dcc0947-164d-476c-a1de-3ae7283dde0a,734,NA,11,0,679573,904442,0,0
f7744d01-894b-49c3-8777-fc6431a2cff1,709,10,10,0,38532,388036,0,0
83721ffb-b99a-4a0f-aea5-ef472a138b41,727,27,16,1,156940,531322,1,0
08f3789f-5714-4b10-929d-e1527ab5e5a3,744,44,14,0,359765,468072,0,0
a4957169-d809-44cc-847b-975400bc8d11,741,NA,6,0,258647,476872,0,0
43467302-94fe-494b-b52f-3fd891fea71c,733,NA,42,0,281599,1449162,0,0
930c7cb3-6086-434a-9547-3ed41c181552,,NA,9,0,233206,342232,0,0
0b2f1b66-741e-4e37-a929-99926cdc9e9a,736,NA,2,0,0,0,0,0
d08f3a5e-93df-40e7-bdd8-cba59180bddf,683,56,8,2,31445,251130,2,0
3102b699-a2d2-4df4-9c33-005dc41e3525,,52,4,0,102087,198330,0,0
663ad9a3-4691-4f8c-90c6-75a5f4f0b34f,723,64,12,0,128402,266904,0,0
1e277d73-10b5-475f-8538-2a5a09d62c8d,680,NA,13,0,167903,388828,0,0
79d992b7-0aa7-4059-a10b-3d416809d77e,,21,9,0,384522,657646,0,0
c3c63911-be01-410b-a20a-85cb9bb83712,,8,25,0,318953,971872,0,0
a913063f-af67-4a8d-b663-e83b9085180d,696,NA,16,0,431490,999262,0,0
e326b52a-66a2-4155-925a-91dcefa97c8a,729,NA,13,0,151088,264242,0,0
add946a5-20a5-4211-bf22-408525123b1d,742,29,37,0,212800,502876,0,0
cb6f7b00-62e7-4e18-8e73-73e60396e270,715,25,14,0,65474,284966,0,0
e6246fe9-6b7b-448c-a817-f91b58199e32,715,47,5,0,137332,272734,0,0
ebefe6f6-41d6-4903-a694-7e98d69ab755,744,68,14,0,729695,1307922,0,0
eda0e007-b2b1-486a-b4ce-58adefd6c0bd,747,NA,7,0,164350,569778,0,0
82bf9406-2a78-4db2-ac3f-05b024cfbb54,722,NA,8,0,347396,553300,0,0
5dfdc862-7427-4cb7-ae6a-a6b8c9f9eae2,740,55,17,0,330581,843128,0,0
c5dca97f-d869-458b-ad84-b12093926dd4,736,NA,8,0,121467,215380,0,0
0905734d-fa9f-42fe-a612-b653393ef027,708,NA,8,1,125020,343860,1,0
10d9c56c-56f9-4a82-ad94-e95ecc25a58a,,NA,11,0,827051,1003816,0,0
ac8e5698-16a9-46f0-8b57-3fa2e145f8fd,705,15,14,0,174344,348062,0,0
a656f70b-632d-4513-a20b-88f1edf2c21e,,NA,4,0,85633,126632,0,0
6b3d25b3-33b8-41e3-9995-d6a274ac5844,,NA,16,0,684950,1054636,0,0
af0a5a13-350d-4540-a254-c32545ebe2cb,740,18,8,0,164008,225280,0,0
d4407af5-9e67-4465-9415-94c3b9575ea4,,6,7,0,16511,108064,0,0
65d23a2f-1818-4cfb-923d-75bdb52013f4,738,NA,11,0,380228,608938,0,0
f95c766b-55ca-43a7-966c-67a3ad82e142,717,32,9,0,256139,423104,0,0
cc43b784-97e5-4a6d-a75d-1e03f7d059dd,706,NA,13,0,549100,1464980,0,0
f8fa11bd-d0d2-4c9f-998e-9f9d866803a7,6470,NA,19,1,183863,809490,1,0
875c3df0-d022-4aa5-aced-8f29d6722489,712,NA,9,0,458679,624096,0,0
769e4e52-d0e7-435c-a87d-1dbf2daaaf94,706,NA,4,0,1596,306196,0,0
41e8f5a6-78a8-4f1b-9de3-4c6079d52076,704,NA,18,0,423092,769054,0,0
c3552bfe-912d-42f2-b25e-73d899e0de8b,736,46,10,0,204516,621566,0,0
89dbf9cb-714a-44de-9412-add4e3e85c45,,38,10,0,402059,650188,0,0
dd80a04f-e1d4-4182-9bf7-a1966558e28a,,69,10,1,209361,338580,0,0
4066eff2-4f29-48dd-9408-9c0cc68afc42,,13,11,0,165186,466532,0,0
a652d67e-e99d-46d7-b8c4-aba02bfe3403,,37,21,0,356687,1868768,0,0
628dd91e-2c5e-4a07-b5f5-00b4cbc93253,733,NA,5,0,110884,224840,0,0
1e5e3699-94cc-4887-ba33-29d0b1096a15,,NA,10,0,126179,241890,0,0
b69432ba-4651-415b-9fe1-200469d3c9fd,,25,12,0,321898,847066,0,0
2f5d0697-7dbb-44b2-9bd4-db4a51370f61,706,NA,17,0,258172,797170,0,0
8ab9234f-3964-4c1c-bda0-d993fbd62f24,646,11,7,0,130264,187594,0,0
42a25517-cef8-41d4-b56e-629e17618252,682,53,13,1,81358,382910,1,0
9386034f-3370-496c-8695-0082aa055281,,NA,26,0,658559,3272720,0,0
443bcf4c-2f98-42c9-8034-0870be82c4c6,717,2,10,0,136952,554488,0,0
a58abd00-1fa0-412b-8d02-4a272f3c4d66,713,NA,7,0,232655,386496,0,0
65688ec3-f816-4745-8eb0-79a08c41ecfd,716,71,7,0,94677,167618,0,0
d4fe49c5-f897-4540-9366-f2099e3bc9b6,649,NA,10,0,510093,925760,0,0
534159bc-4ac2-4f65-9637-12ba88afa78d,688,NA,7,0,115444,218064,0,0
8310d972-63ad-4a60-9a79-4a75862fb5f6,747,NA,26,0,137256,2337082,0,0
119b9755-018f-436c-aa50-0a9b4c13f0d3,702,NA,13,1,155800,451044,1,0
61d9fcf2-81ac-409a-8582-7dbee3c2d28b,674,26,13,0,155078,1081740,0,0
2948d139-5fcf-40af-9a32-7e3d0f181164,742,NA,10,0,226708,653026,0,0
121819ed-eaeb-44a0-b6be-5311b12fea37,,74,10,0,333678,482966,0,0
2107184a-4425-409d-a86e-76c0134d797e,733,40,19,0,16492,149138,0,0
f30d1652-e200-4672-8d07-e4e2b2c1f3a8,712,40,5,0,70205,109692,0,0
96352ce5-5129-4444-a07c-9e7390d2352e,746,NA,15,0,668629,1084314,0,0
875edb92-c7ec-4a05-8824-912927f015e3,719,NA,17,0,384351,1101562,0,0
a4f187d0-8f0b-4b39-afed-525e169f53cd,740,52,15,0,189449,507782,0,0
dee684fd-e1f1-48f7-a97e-c4fb2287f7be,707,NA,9,0,356554,571010,0,0
d1fc9fab-c527-4bb4-83bf-09ac9e459766,726,NA,7,0,168074,321156,0,0
5caa7b9b-6313-4d33-8e01-cd3a81a1f771,7440,NA,9,0,387277,1047706,0,0
14357507-a87b-4196-9895-0e9fdae22b65,740,NA,8,0,218614,371184,0,0
872e132f-e066-40a3-926c-16e51fabce5b,731,NA,11,0,84930,339086,0,0
6d56e22d-99f0-458b-a02f-3480c5ccb3b1,751,NA,18,0,354920,2151556,0,0
f07b51a2-773f-403c-bca8-8b49db584b1c,685,NA,13,0,358359,527912,0,0
885c40ae-6672-457c-8ee4-03c2f5069b6c,722,NA,17,0,448514,1022318,0,0
57c8c784-d7cf-4cdb-a0c1-4a79716dee82,721,48,9,0,431414,731368,0,0
e44cd186-969e-402a-a477-34623d8cb71f,,NA,7,0,54986,117260,0,0
99565f3b-7644-4f15-b869-4bdde4cbec4e,7110,34,18,0,143697,311608,0,0
3fad35c7-6e68-4844-975c-337531bdb98f,652,NA,9,0,133817,303226,0,0
20bca72c-e5f3-4513-bab8-42f8fde05607,740,13,14,0,579937,948464,0,0
572b4f50-926c-4fa6-9c78-864898ffdee4,748,NA,11,0,211242,1881462,0,0
170a2bf9-fd2f-4a9d-9f2f-7d2ecfb22b34,740,NA,15,0,1137036,3033580,0,0
efd9fafc-ba0e-4d8d-98c2-86a24e361606,667,6,7,0,196992,254584,0,0
f8edc5d8-1b14-41e1-8f74-0df42e6d9e61,743,7,15,0,133133,213510,0,0
ad1bee4b-5993-49e6-afbe-f344f079ada0,,43,11,0,721715,1069992,0,0
4dd12f87-b666-40ad-a1c8-3794557f96ed,,NA,22,1,563293,949388,1,0
41408c28-ce1c-4acf-8a2a-2941c93b84dd,,NA,10,0,304133,525602,0,0
e840a6a8-28a2-4b38-9863-390381eebee2,746,20,5,0,298623,917180,0,0
a900656d-6764-4fe1-bd64-8452ee62e540,747,11,10,0,160474,529386,0,0
01579727-e7e1-4621-98de-ea7b6f0a68a3,738,14,11,0,589285,1201288,0,0
