Customer ID,Annual Income,Years in current job,Home Ownership
ded0b3c3-6bf4-4091-8726-47039f2c1b90,2074116,10+ years,Home Mortgage
1630e6e3-34e3-461a-8fda-09297d3140c8,1919190,10+ years,Home Mortgage
2c60938b-ad2b-4702-804d-eeca43949c52,871112,2 years,Rent
12116614-2f3c-4d16-ad34-d92883718806,780083,10+ years,Rent
39888105-fd5f-4023-860a-30a3e6f5ccb7,1761148,10+ years,Home Mortgage
6878d414-6a22-4712-ae43-9b3f798e463a,760380,1 year,Rent
48113a98-a4a0-4956-b57d-f0ce344826fb,1783606,10+ years,Home Mortgage
19941661-98e2-4800-93c9-a0e92057c813,,< 1 year,Own Home
6a1adeda-079b-49e5-ac7c-91828f2806a0,1068617,5 years,Rent
4080a828-a61a-4f04-a627-397f4319500c,2031518,2 years,Rent
8116b23d-aad4-436f-9666-e99b28c21b05,,< 1 year,Rent
8ec9f388-a275-40ee-9edc-82dec9f978c3,1284514,7 years,Rent
db6fb330-9742-4738-a35f-810f9573684c,504374,7 years,Rent
3baae7fe-d27a-40af-9289-2b4626c0893f,,5 years,Home Mortgage
622add56-97b2-4067-88c7-55eafff12017,,5 years,Rent
4f8389cd-2ac7-40f6-a2bc-5c545838953f,669560,3 years,Home Mortgage
8c49e3f3-bf36-434d-a518-145c825d9455,1236976,6 years,Rent
163b8125-8f24-4b8f-ba59-23ea017f5b48,1077262,3 years,Own Home
ce6fc244-b9a8-44b8-95f4-61c41ed5d03b,442339,< 1 year,Rent
bcace9c1-a4c0-4d6d-9582-fa2026c3fc0b,694526,8 years,Rent
bd73b695-0960-4c46-a723-4a4cc67135eb,2245116,2 years,Home Mortgage
6518287d-d7df-4cba-8093-4abea80fb718,1394676,5 years,Home Mortgage
63e691e6-bf28-48fc-9f54-3bc72945a9bb,682898,10+ years,Home Mortgage
61d66434-3514-4f9f-acb6-0ccdee208265,963300,10+ years,Home Mortgage
85e3fb12-9733-40d0-ba40-c4c70a4d676f,683582,6 years,Own Home
c97bf871-37f7-4e65-bb79-c6eaa1d2f0b2,990185,4 years,Home Mortgage
aae249a1-98dc-4423-bc3f-63142c9ad00d,,10+ years,Rent
9a561b03-ce0c-411e-85b4-73a108718cb7,747156,4 years,Rent
3b69f3b7-4675-4bec-be5c-332d729b284c,,5 years,Rent
3d5b68c4-e36c-4562-ac2e-1845c8a3f138,,6 years,Home Mortgage
322fdfe1-0113-4a84-8a6d-e93dcfe5d7e2,2138906,10+ years,Home Mortgage
7883d485-cd19-4e74-84e6-183b0f239996,,< 1 year,HaveMortgage
6866ead5-79d6-4102-ac08-a861281efafe,979716,10+ years,Rent
481df4a0-f256-4c49-92db-8ae7a5642bdf,1146004,1 year,Rent
54459ce0-50d7-4957-8f18-e35f4b49214d,5951484,3 years,Rent
ab86ebb2-c4f4-47dd-b430-3d6270394f8b,1833842,8 years,Rent
1b233b3a-bf6e-478a-be2e-673feb2f5843,1301671,n/a,Rent
401b284d-0f6a-443f-84be-b79e8df33620,1306592,9 years,Rent
3c6cdac9-88c7-4fa1-a5a1-18de2e1a3097,1539912,10+ years,Rent
b171374b-7aa3-42bb-b242-3bca259f8f28,648508,10+ years,Rent
16f4e4a9-6a99-417e-9c31-89579951083b,,10+ years,Own Home
55cedc7a-f5b2-4ac7-a7ef-bb2eb635ba90,,1 year,Rent
23bb03ea-cee4-420f-aae0-5a99e05c62a6,,4 years,Home Mortgage
4aec62aa-c53f-4779-9535-c5f9d3925976,,10+ years,Home Mortgage
cef6a8aa-4821-4e14-a03e-75c2f1490049,855342,7 years,Rent
67a35b69-620c-4498-8325-cd9bd20c33c3,,2 years,Rent
75a48dbf-05c4-4ef4-bbe1-1a54a52b2d39,,10+ years,Home Mortgage
6bdae209-f82f-4c2d-9be3-17af444c5b44,1164225,10+ years,Rent
5ef6d424-eada-4bab-8904-4f7f26523c92,2504504,9 years,Home Mortgage
395a76dd-8ad0-45fb-ae56-bd848e300352,1790807,2 years,Home Mortgage
8f36428b-2b8d-4fed-8e35-5d8a92c7cc8f,,10+ years,Home Mortgage
5b064f68-e99a-4597-80c7-2f2ac4ebea9a,683183,1 year,Rent
